time,rate
Jan-00,"1,131.07"
Feb-00,"1,128.80"
Mar-00,"1,117.19"
Apr-00,"1,109.76"
May-00,"1,120.01"
Jun-00,"1,118.73"
Jul-00,"1,114.86"
Aug-00,"1,114.57"
Sep-00,"1,116.50"
Oct-00,"1,127.31"
Nov-00,"1,151.15"
Dec-00,"1,214.40"
Jan-01,"1,272.82"
Feb-01,"1,252.44"
Mar-01,"1,288.43"
Apr-01,"1,325.55"
May-01,"1,298.46"
Jun-01,"1,293.83"
Jul-01,"1,302.60"
Aug-01,"1,285.39"
Sep-01,"1,293.70"
Oct-01,"1,302.60"
Nov-01,"1,284.00"
Dec-01,"1,289.66"
Jan-02,"1,317.60"
Feb-02,"1,318.72"
Mar-02,"1,322.51"
Apr-02,"1,318.93"
May-02,"1,266.06"
Jun-02,"1,223.47"
Jul-02,"1,185.12"
Aug-02,"1,196.37"
Sep-02,"1,208.50"
Oct-02,"1,241.13"
Nov-02,"1,211.91"
Dec-02,"1,208.91"
Jan-03,"1,179.27"
Feb-03,"1,191.19"
Mar-03,"1,232.40"
Apr-03,"1,232.82"
May-03,"1,199.78"
Jun-03,"1,194.02"
Jul-03,"1,181.59"
Aug-03,"1,178.42"
Sep-03,"1,166.17"
Oct-03,"1,166.27"
Nov-03,"1,184.87"
Dec-03,"1,192.95"
Jan-04,"1,184.32"
Feb-04,"1,166.69"
Mar-04,"1,166.34"
Apr-04,"1,150.85"
May-04,"1,177.37"
Jun-04,"1,158.65"
Jul-04,"1,157.66"
Aug-04,"1,159.00"
Sep-04,"1,147.97"
Oct-04,"1,144.04"
Nov-04,"1,091.19"
Dec-04,"1,050.91"
Jan-05,"1,038.23"
Feb-05,"1,022.43"
Mar-05,"1,007.49"
Apr-05,"1,010.94"
May-05,"1,002.21"
Jun-05,"1,010.87"
Jul-05,"1,037.44"
Aug-05,"1,021.17"
Sep-05,"1,029.33"
Oct-05,"1,046.25"
Nov-05,"1,041.43"
Dec-05,"1,024.15"
Jan-06,987.03
Feb-06,970.22
Mar-06,975.09
Apr-06,954.44
May-06,941.4
Jun-06,955.16
Jul-06,950.15
Aug-06,960.72
Sep-06,953.68
Oct-06,954.23
Nov-06,936.22
Dec-06,925.75
Jan-07,936.36
Feb-07,937.02
Mar-07,943.26
Apr-07,931.5
May-07,927.91
Jun-07,928.32
Jul-07,918.85
Aug-07,933.8
Sep-07,932.41
Oct-07,915.86
Nov-07,916.98
Dec-07,930.24
Jan-08,942.39
Feb-08,944.69
Mar-08,979.86
Apr-08,986.66
May-08,"1,036.73"
Jun-08,"1,029.27"
Jul-08,"1,019.12"
Aug-08,"1,041.54"
Sep-08,"1,130.40"
Oct-08,"1,326.92"
Nov-08,"1,390.09"
Dec-08,"1,373.84"
Jan-09,"1,346.10"
Feb-09,"1,429.46"
Mar-09,"1,461.98"
Apr-09,"1,341.90"
May-09,"1,258.71"
Jun-09,"1,261.35"
Jul-09,"1,263.97"
Aug-09,"1,238.40"
Sep-09,"1,219.15"
Oct-09,"1,175.25"
Nov-09,"1,164.23"
Dec-09,"1,166.45"
Jan-10,"1,138.82"
Feb-10,"1,157.08"
Mar-10,"1,137.64"
Apr-10,"1,117.11"
May-10,"1,163.11"
Jun-10,"1,212.33"
Jul-10,"1,207.30"
Aug-10,"1,179.92"
Sep-10,"1,167.01"
Oct-10,"1,123.45"
Nov-10,"1,126.20"
Dec-10,"1,147.55"
Jan-11,"1,120.07"
Feb-11,"1,118.14"
Mar-11,"1,122.45"
Apr-11,"1,086.84"
May-11,"1,083.54"
Jun-11,"1,081.27"
Jul-11,"1,059.50"
Aug-11,"1,073.17"
Sep-11,"1,118.61"
Oct-11,"1,155.45"
Nov-11,"1,132.31"
Dec-11,"1,147.45"
Jan-12,"1,145.85"
Feb-12,"1,123.35"
Mar-12,"1,125.90"
Apr-12,"1,135.55"
May-12,"1,154.27"
Jun-12,"1,165.51"
Jul-12,"1,143.36"
Aug-12,"1,131.69"
Sep-12,"1,124.78"
Oct-12,"1,106.93"
Nov-12,"1,087.52"
Dec-12,"1,076.97"
Jan-13,"1,065.35"
Feb-13,"1,086.68"
Mar-13,"1,102.20"
Apr-13,"1,121.83"
May-13,"1,110.67"
Jun-13,"1,135.21"
Jul-13,"1,127.23"
Aug-13,"1,116.98"
Sep-13,"1,087.35"
Oct-13,"1,066.80"
Nov-13,"1,062.82"
Dec-13,"1,056.67"
Jan-14,"1,064.75"
Feb-14,"1,071.30"
Mar-14,"1,070.89"
Apr-14,"1,044.55"
May-14,"1,024.99"
Jun-14,"1,019.36"
Jul-14,"1,019.93"
Aug-14,"1,025.36"
Sep-14,"1,033.24"
Oct-14,"1,060.28"
Nov-14,"1,095.10"
Dec-14,"1,104.33"
Jan-15,"1,088.86"
Feb-15,"1,098.40"
Mar-15,"1,112.57"
Apr-15,"1,088.66"
May-15,"1,091.27"
Jun-15,"1,112.20"
Jul-15,"1,143.22"
Aug-15,"1,179.10"
Sep-15,"1,184.76"
Oct-15,"1,148.18"
Nov-15,"1,151.97"
Dec-15,"1,172.24"
Jan-16,"1,201.67"
Feb-16,"1,217.35"
Mar-16,"1,188.21"
Apr-16,"1,147.51"
May-16,"1,171.51"
Jun-16,"1,170.50"
Jul-16,"1,144.09"
Aug-16,"1,111.68"
Sep-16,"1,107.49"
Oct-16,"1,125.28"
Nov-16,"1,161.64"
Dec-16,"1,182.28"
Jan-17,"1,185.10"
Feb-17,"1,144.92"
Mar-17,"1,134.77"
Apr-17,"1,132.73"
May-17,"1,125.28"
Jun-17,"1,130.04"
Jul-17,"1,134.40"
Aug-17,"1,130.79"
Sep-17,"1,131.59"
Oct-17,"1,131.57"
Nov-17,"1,105.04"
Dec-17,"1,085.78"
Jan-18,"1,066.70"
Feb-18,"1,079.58"
Mar-18,"1,071.89"
Apr-18,"1,067.76"
May-18,"1,076.39"
Jun-18,"1,092.80"
Jul-18,"1,122.80"
Aug-18,"1,121.15"
Sep-18,"1,120.60"
Oct-18,"1,130.81"
Nov-18,"1,128.58"
Dec-18,"1,122.90"
Jan-19,"1,122.00"
Feb-19,"1,122.45"
Mar-19,"1,130.72"
Apr-19,"1,140.95"
May-19,"1,183.29"
Jun-19,"1,175.62"
Jul-19,"1,175.31"
Aug-19,"1,208.98"
Sep-19,"1,197.55"
Oct-19,"1,184.13"
Nov-19,"1,167.45"
Dec-19,"1,175.84"
Jan-20,"1,164.28"
Feb-20,"1,193.79"
Mar-20,"1,220.09"
Apr-20,"1,225.23"
May-20,"1,228.67"
Jun-20,"1,210.01"
Jul-20,"1,198.90"
Aug-20,"1,186.85"
Sep-20,"1,178.80"
Oct-20,"1,144.68"
Nov-20,"1,116.76"
Dec-20,"1,095.13"
Jan-21,"1,097.49"
Feb-21,"1,111.72"
Mar-21,"1,131.02"
Apr-21,"1,119.40"
May-21,"1,123.28"
Jun-21,"1,121.30"
Jul-21,"1,143.98"
Aug-21,"1,160.34"
Sep-21,"1,169.54"
Oct-21,"1,182.82"
Nov-21,"1,182.91"
Dec-21,"1,183.70"
Jan-22,"1,194.01"
Feb-22,"1,198.34"
Mar-22,"1,221.03"
Apr-22,"1,232.34"
May-22,"1,269.88"
Jun-22,"1,277.35"
Jul-22,"1,307.40"
Aug-22,"1,318.44"
Sep-22,"1,391.59"
Oct-22,"1,426.66"
Nov-22,"1,364.10"
Dec-22,"1,296.22"
Jan-23,"1,247.25"
Feb-23,"1,270.74"
Mar-23,"1,305.73"
